Class,Alcohol,Malic acid,Attribute,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13
1,0.8421052631578951,0.19169960474308304,2.43,15.6,127,2.8,3.06,0.28,2.29,5.64,1.04,3.92,1065
1,0.5710526315789473,0.20553359683794467,2.14,11.2,100,2.65,2.76,0.26,1.28,4.38,1.05,3.4,1050
1,0.560526315789474,0.32015810276679846,2.67,18.6,101,2.8,3.24,0.3,2.81,5.68,1.03,3.17,1185
1,0.8789473684210525,0.23913043478260873,2.5,16.8,113,3.85,3.49,0.24,2.18,7.8,0.86,3.45,1480
1,0.5815789473684214,0.36561264822134387,2.87,21.0,118,2.8,2.69,0.39,1.82,4.32,1.04,2.93,735
1,0.8342105263157893,0.20158102766798422,2.45,15.2,112,3.27,3.39,0.34,1.97,6.75,1.05,2.85,1450
1,0.8842105263157896,0.22332015810276687,2.45,14.6,96,2.5,2.52,0.3,1.98,5.25,1.02,3.58,1290
1,0.797368421052632,0.2786561264822135,2.61,17.6,121,2.6,2.51,0.31,1.25,5.05,1.06,3.58,1295
1,1.0,0.17786561264822134,2.17,14.0,97,2.8,2.98,0.29,1.98,5.2,1.08,2.85,1045
1,0.7447368421052629,0.12055335968379452,2.27,16.0,98,2.98,3.15,0.22,1.85,7.22,1.01,3.55,1045
1,0.8078947368421052,0.2806324110671937,2.3,18.0,105,2.95,3.32,0.22,2.38,5.75,1.25,3.17,1510
1,0.8131578947368419,0.14624505928853757,2.32,16.8,95,2.2,2.43,0.26,1.57,5.0,1.17,2.82,1280
1,0.7157894736842105,0.1956521739130435,2.41,16.0,89,2.6,2.76,0.29,1.81,5.6,1.15,2.9,1320
1,0.9789473684210526,0.1956521739130435,2.39,11.4,91,3.1,3.69,0.43,2.81,5.4,1.25,2.73,1150
1,0.8815789473684212,0.22332015810276687,2.38,12.0,102,3.3,3.64,0.29,2.96,7.5,1.2,3.0,1547
1,0.6842105263157898,0.2114624505928854,2.7,17.2,112,2.85,2.91,0.3,1.46,7.3,1.28,2.88,1310
1,0.8605263157894738,0.233201581027668,2.72,20.0,120,2.8,3.14,0.33,1.97,6.2,1.07,2.65,1280
1,0.736842105263158,0.1640316205533597,2.62,20.0,115,2.95,3.4,0.4,1.72,6.6,1.13,2.57,1130
1,0.831578947368421,0.16798418972332022,2.48,16.5,108,3.3,3.93,0.32,1.86,8.7,1.23,2.82,1680
1,0.6868421052631581,0.46640316205533605,2.56,15.2,116,2.7,3.03,0.17,1.66,5.1,0.96,3.36,845
1,0.797368421052632,0.17588932806324112,2.28,16.0,126,3.0,3.17,0.24,2.1,5.65,1.09,3.71,780
1,0.5,0.6047430830039526,2.65,18.6,102,2.41,2.41,0.25,1.98,4.5,1.03,3.52,770
1,0.7052631578947373,0.2213438735177866,2.36,16.6,101,2.61,2.88,0.27,1.69,3.8,1.11,4.0,1035
