,buying__high,buying__low,buying__med,buying__vhigh,maint__high,maint__low,maint__med,maint__vhigh,doors__2,doors__3,doors__4,doors__5more,persons__2,persons__4,persons__more,lug_boot__big,lug_boot__med,lug_boot__small,safety__high,safety__low,safety__med,acceptance
0,False,False,False,True,False,False,False,True,True,False,False,False,True,False,False,False,False,True,False,True,False,unacc
1,False,False,False,True,False,False,False,True,True,False,False,False,True,False,False,False,False,True,False,False,True,unacc
2,False,False,False,True,False,False,False,True,True,False,False,False,True,False,False,False,False,True,True,False,False,unacc
3,False,False,False,True,False,False,False,True,True,False,False,False,True,False,False,False,True,False,False,True,False,unacc
4,False,False,False,True,False,False,False,True,True,False,False,False,True,False,False,False,True,False,False,False,True,unacc
5,False,False,False,True,False,False,False,True,True,False,False,False,True,False,False,False,True,False,True,False,False,unacc
6,False,False,False,True,False,False,False,True,True,False,False,False,True,False,False,True,False,False,False,True,False,unacc
7,False,False,False,True,False,False,False,True,True,False,False,False,True,False,False,True,False,False,False,False,True,unacc
8,False,False,False,True,False,False,False,True,True,False,False,False,True,False,False,True,False,False,True,False,False,unacc
9,False,False,False,True,False,False,False,True,True,False,False,False,False,True,False,False,False,True,False,True,False,unacc
10,False,False,False,True,False,False,False,True,True,False,False,False,False,True,False,False,False,True,False,False,True,unacc
11,False,False,False,True,False,False,False,True,True,False,False,False,False,True,False,False,False,True,True,False,False,unacc
12,False,False,False,True,False,False,False,True,True,False,False,False,False,True,False,False,True,False,False,True,False,unacc
13,False,False,False,True,False,False,False,True,True,False,False,False,False,True,False,False,True,False,False,False,True,unacc
14,False,False,False,True,False,False,False,True,True,False,False,False,False,True,False,False,True,False,True,False,False,unacc
15,False,False,False,True,False,False,False,True,True,False,False,False,False,True,False,True,False,False,False,True,False,unacc
16,False,False,False,True,False,False,False,True,True,False,False,False,False,True,False,True,False,False,False,False,True,unacc
17,False,False,False,True,False,False,False,True,True,False,False,False,False,True,False,True,False,False,True,False,False,unacc
18,False,False,False,True,False,False,False,True,True,False,False,False,False,False,True,False,False,True,False,True,False,unacc
19,False,False,False,True,False,False,False,True,True,False,False,False,False,False,True,False,False,True,False,False,True,unacc
20,False,False,False,True,False,False,False,True,True,False,False,False,False,False,True,False,False,True,True,False,False,unacc
21,False,False,False,True,False,False,False,True,True,False,False,False,False,False,True,False,True,False,False,True,False,unacc
22,False,False,False,True,False,False,False,True,True,False,False,False,False,False,True,False,True,False,False,False,True,unacc
23,False,False,False,True,False,False,False,True,True,False,False,False,False,False,True,False,True,False,True,False,False,unacc
24,False,False,False,True,False,False,False,True,True,False,False,False,False,False,True,True,False,False,False,True,False,unacc
25,False,False,False,True,False,False,False,True,True,False,False,False,False,False,True,True,False,False,False,False,True,unacc
26,False,False,False,True,False,False,False,True,True,False,False,False,False,False,True,True,False,False,True,False,False,unacc
27,False,False,False,True,False,False,False,True,False,True,False,False,True,False,False,False,False,True,False,True,False,unacc
28,False,False,False,True,False,False,False,True,False,True,False,False,True,False,False,False,False,True,False,False,True,unacc
29,False,False,False,True,False,False,False,True,False,True,False,False,True,False,False,False,False,True,True,False,False,unacc
30,False,False,False,True,False,False,False,True,False,True,False,False,True,False,False,False,True,False,False,True,False,unacc
31,False,False,False,True,False,False,False,True,False,True,False,False,True,False,False,False,True,False,False,False,True,unacc
32,False,False,False,True,False,False,False,True,False,True,False,False,True,False,False,False,True,False,True,False,False,unacc
33,False,False,False,True,False,False,False,True,False,True,False,False,True,False,False,True,False,False,False,True,False,unacc
34,False,False,False,True,False,False,False,True,False,True,False,False,True,False,False,True,False,False,False,False,True,unacc
35,False,False,False,True,False,False,False,True,False,True,False,False,True,False,False,True,False,False,True,False,False,unacc
36,False,False,False,True,False,False,False,True,False,True,False,False,False,True,False,False,False,True,False,True,False,unacc
37,False,False,False,True,False,False,False,True,False,True,False,False,False,True,False,False,False,True,False,False,True,unacc
38,False,False,False,True,False,False,False,True,False,True,False,False,False,True,False,False,False,True,True,False,False,unacc
39,False,False,False,True,False,False,False,True,False,True,False,False,False,True,False,False,True,False,False,True,False,unacc
40,False,False,False,True,False,False,False,True,False,True,False,False,False,True,False,False,True,False,False,False,True,unacc
41,False,False,False,True,False,False,False,True,False,True,False,False,False,True,False,False,True,False,True,False,False,unacc
42,False,False,False,True,False,False,False,True,False,True,False,False,False,True,False,True,False,False,False,True,False,unacc
43,False,False,False,True,False,False,False,True,False,True,False,False,False,True,False,True,False,False,False,False,True,unacc
44,False,False,False,True,False,False,False,True,False,True,False,False,False,True,False,True,False,False,True,False,False,unacc
45,False,False,False,True,False,False,False,True,False,True,False,False,False,False,True,False,False,True,False,True,False,unacc
46,False,False,False,True,False,False,False,True,False,True,False,False,False,False,True,False,False,True,False,False,True,unacc
47,False,False,False,True,False,False,False,True,False,True,False,False,False,False,True,False,False,True,True,False,False,unacc
48,False,False,False,True,False,False,False,True,False,True,False,False,False,False,True,False,True,False,False,True,False,unacc
49,False,False,False,True,False,False,False,True,False,True,False,False,False,False,True,False,True,False,False,False,True,unacc
50,False,False,False,True,False,False,False,True,False,True,False,False,False,False,True,False,True,False,True,False,False,unacc
51,False,False,False,True,False,False,False,True,False,True,False,False,False,False,True,True,False,False,False,True,False,unacc
52,False,False,False,True,False,False,False,True,False,True,False,False,False,False,True,True,False,False,False,False,True,unacc
53,False,False,False,True,False,False,False,True,False,True,False,False,False,False,True,True,False,False,True,False,False,unacc
54,False,False,False,True,False,False,False,True,False,False,True,False,True,False,False,False,False,True,False,True,False,unacc
55,False,False,False,True,False,False,False,True,False,False,True,False,True,False,False,False,False,True,False,False,True,unacc
56,False,False,False,True,False,False,False,True,False,False,True,False,True,False,False,False,False,True,True,False,False,unacc
57,False,False,False,True,False,False,False,True,False,False,True,False,True,False,False,False,True,False,False,True,False,unacc
